,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6878,BEAUHARNOIS,QUEBEC,7020562,10948,,WBH,45.17,-73.92,451000000.0,-735500000.0,33.9,1994,1994,1994.0,1994.0,,,,
6879,BEAUHARNOIS,QUEBEC,7020564,42007,,MBR,45.32,-73.91,451910000.0,-735444000.0,22.0,2003,2006,2003.0,2006.0,,,,
6880,BEAUSEJOUR,QUEBEC,7020567,5315,,,46.67,-71.17,464000000.0,-711000000.0,106.7,1975,2020,,,1975.0,2020.0,1975.0,2018.0
6881,BECANCOUR,QUEBEC,7020570,5316,,,46.33,-72.43,462000000.0,-722600000.0,14.9,1966,1994,,,1966.0,1994.0,1966.0,1994.0
6882,BETHANIE,QUEBEC,7020750,5317,,,45.5,-72.43,453000000.0,-722600000.0,198.1,1968,1985,,,1968.0,1985.0,1968.0,1985.0
6883,BIRCHTON,QUEBEC,7020785,5318,,,45.37,-71.67,452200000.0,-714000000.0,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
6884,BISHOPTON,QUEBEC,7020800,5319,,,45.58,-71.57,453500000.0,-713400000.0,213.4,1948,1996,,,1948.0,1996.0,1948.0,1996.0
6885,BLACK LAKE,QUEBEC,7020808,5320,,,46.05,-71.37,460300000.0,-712200000.0,262.7,1961,1962,,,1961.0,1962.0,1961.0,1962.0
6886,BON CONSEIL EXP ST,QUEBEC,7020820,5321,,,46.0,-72.4,460000000.0,-722400000.0,76.2,1960,1960,,,1960.0,1960.0,1960.0,1960.0
6887,BONSECOURS,QUEBEC,7020828,5322,,,45.4,-72.27,452400000.0,-721600000.0,297.2,1967,2022,,,1967.0,2022.0,1967.0,2018.0
6888,BRIGHAM,QUEBEC,7020833,5323,,,45.25,-72.85,451500000.0,-725100000.0,91.4,1968,1972,,,1968.0,1972.0,1968.0,1972.0
6889,BRITANNIA MILLS,QUEBEC,7020835,5324,,,45.63,-72.82,453800000.0,-724900000.0,68.6,1968,1975,,,1968.0,1975.0,1968.0,1975.0
6890,BROME,QUEBEC,7020840,5325,,,45.18,-72.57,451100000.0,-723400000.0,205.7,1875,2014,,,1875.0,2014.0,1875.0,2014.0
6891,BROMONT,QUEBEC,7020850,5326,,,45.3,-72.63,451800000.0,-723800000.0,175.3,1968,1978,,,1968.0,1978.0,1968.0,1978.0
6892,BROMPTONVILLE,QUEBEC,7020860,5327,,,45.48,-71.95,452900000.0,-715700000.0,130.0,1957,2022,,,1957.0,2022.0,1957.0,2018.0
6893,BROUGHTON STATION,QUEBEC,7020865,5328,,,46.2,-71.12,461200000.0,-710700000.0,373.4,1965,1981,,,1965.0,1981.0,1965.0,1981.0
6894,BULWER,QUEBEC,7020877,5329,,,45.35,-71.7,452100000.0,-714200000.0,288.0,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6895,BURROUGHS FALLS,QUEBEC,7020880,5330,,,45.15,-72.0,450900000.0,-720000000.0,210.3,1952,1954,,,1952.0,1954.0,1952.0,1954.0
6896,BURY,QUEBEC,7020884,5331,,,45.48,-71.52,452900000.0,-713100000.0,289.6,1960,1964,,,1960.0,1964.0,1960.0,1963.0
6897,BURY,QUEBEC,7020885,5332,,,45.52,-71.48,453100000.0,-712900000.0,378.0,1970,1994,,,1970.0,1994.0,1970.0,1994.0
6898,BURY (COLLEGE D'ALZON),QUEBEC,7020888,5333,,,45.48,-71.5,452900000.0,-713000000.0,289.6,1963,1971,,,1963.0,1971.0,1963.0,1968.0
6899,BARNSTON,QUEBEC,7020DDP,5307,,,45.08,-71.88,450500000.0,-715300000.0,445.0,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6900,CHARTIERVILLE,QUEBEC,7021320,5334,,,45.28,-71.2,451700000.0,-711200000.0,518.2,1951,1990,,,1951.0,1990.0,1951.0,1990.0
6901,CHRISTMAS BROOK NORTH,QUEBEC,7021460,5335,,,45.42,-71.37,452500000.0,-712200000.0,,1973,1978,,,1973.0,1978.0,1973.0,1978.0
6902,CHUTE HEMMINGS,QUEBEC,7021580,5336,,,45.87,-72.45,455200000.0,-722700000.0,86.9,1931,1986,,,1931.0,1986.0,1931.0,1984.0
6903,CLIFTON RIVER,QUEBEC,7021718,5337,,,45.3,-71.57,451800000.0,-713400000.0,342.9,1973,1981,,,1973.0,1981.0,1973.0,1981.0
6904,CLIFTON RIVER SOUTH,QUEBEC,7021719,5338,,,45.23,-71.5,451400000.0,-713000000.0,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
6905,COATICOOK,QUEBEC,7021840,5339,,,45.15,-71.8,450900000.0,-714800000.0,259.1,1949,2022,,,1949.0,2022.0,1949.0,2018.0
6906,COMPTON STATION,QUEBEC,7021916,5340,,,45.2,-71.85,451200000.0,-715100000.0,297.2,1965,1966,,,1965.0,1966.0,1965.0,1966.0
